maintenance_id,property_id,agent_id,owner_id,description,maintenance_type,cost,maintenance_date
1,2,151,657,Install Cleaning at property,Cleaning,1770,12/30/2024
2,2,151,657,Install Plumbing at property,Plumbing,1275,12/27/2024
3,3,183,206,Install Roof at property,Roof,1999,7/5/2022
4,3,183,206,Fix Painting at property,Painting,115,6/16/2023
5,4,56,1220,Install Electrical at property,Electrical,2266,11/20/2024
6,4,56,1220,Repair Roof at property,Roof,448,11/17/2024
7,4,56,1220,Repair Cleaning at property,Cleaning,2160,12/12/2024
8,4,56,1220,Repair Appliances at property,Appliances,2447,12/19/2024
9,6,9,142,Install Plumbing at property,Plumbing,1875,10/5/2024
10,6,9,142,Repair Appliances at property,Appliances,729,5/12/2023
11,6,9,142,Replace HVAC at property,HVAC,2069,3/23/2024
12,6,9,142,Fix Roof at property,Roof,1892,8/1/2024
13,7,174,1165,Repair Cleaning at property,Cleaning,2250,11/8/2023
14,7,174,1165,Replace Cleaning at property,Cleaning,117,1/18/2021
15,7,174,1165,Fix Electrical at property,Electrical,6325,12/12/2023
16,7,174,1165,Replace Roof at property,Roof,901,7/2/2022
17,7,174,1165,Fix Plumbing at property,Plumbing,3748,1/26/2021
18,9,20,425,Repair Electrical at property,Electrical,868,7/25/2022
19,9,20,425,Fix Roof at property,Roof,1665,3/31/2023
20,9,20,425,Install Plumbing at property,Plumbing,1745,1/20/2022
21,10,20,1253,Fix Plumbing at property,Plumbing,117,9/4/2022
22,12,137,484,Repair Roof at property,Roof,6790,2/26/2023
23,12,137,484,Fix Painting at property,Painting,609,10/6/2023
24,12,137,484,Repair Roof at property,Roof,191,6/30/2023
25,12,137,484,Replace Plumbing at property,Plumbing,837,5/7/2022
26,12,137,484,Fix Roof at property,Roof,760,10/21/2022
27,13,223,408,Install Appliances at property,Appliances,1185,4/11/2024
28,15,239,273,Repair HVAC at property,HVAC,559,1/16/2023
29,15,239,273,Fix Electrical at property,Electrical,577,1/14/2024
30,15,239,273,Install Electrical at property,Electrical,2272,5/17/2024
31,17,25,429,Fix Cleaning at property,Cleaning,1625,5/21/2023
32,18,68,207,Replace Cleaning at property,Cleaning,1672,4/28/2024
33,20,9,25,Repair Electrical at property,Electrical,1385,6/6/2024
34,21,105,738,Replace Electrical at property,Electrical,1209,10/27/2024
35,21,105,738,Repair Roof at property,Roof,5926,7/31/2024
36,21,105,738,Replace Electrical at property,Electrical,3906,10/2/2024
37,23,94,1628,Repair Painting at property,Painting,521,9/5/2023
38,24,10,1704,Repair Electrical at property,Electrical,933,7/26/2023
39,29,122,350,Repair Cleaning at property,Cleaning,3542,1/23/2024
40,29,122,350,Install Cleaning at property,Cleaning,1218,4/22/2022
41,29,122,350,Replace Electrical at property,Electrical,6355,10/13/2023
42,29,122,350,Replace Cleaning at property,Cleaning,812,2/6/2024
43,29,122,350,Fix Cleaning at property,Cleaning,6628,3/13/2022
44,29,122,350,Install HVAC at property,HVAC,2177,8/22/2024
45,29,122,350,Replace Roof at property,Roof,276,6/1/2023
46,29,122,350,Repair Cleaning at property,Cleaning,1567,12/18/2024
47,29,122,350,Install Appliances at property,Appliances,3721,11/13/2024
48,30,164,2,Install Appliances at property,Appliances,3845,2/10/2023
49,30,164,2,Install Plumbing at property,Plumbing,4159,12/24/2021
50,33,133,517,Replace HVAC at property,HVAC,5575,12/9/2024
51,33,133,517,Replace Painting at property,Painting,489,12/20/2024
