property_id,owner_id,property_manager_id,address_id,listing_date,property_type,rooms,bathrooms,parking,condition,listing_type,listing_price
1,1360,33,1,5/9/2021,House,5,3,3,Good,Sale,482041
2,657,151,2,12/18/2024,Office,3,2,3,Fair,Rent,1987
3,206,183,3,10/26/2021,Studio,1,1,1,Fair,Rent,1228
4,1220,56,4,11/1/2024,Studio,1,1,1,Fair,Sale,105380
5,1269,142,5,11/12/2020,Apartment,2,1,1,Good,Rent,2026
6,142,9,6,8/2/2022,Office,5,2,2,Fair,Sale,376297
7,1165,174,7,8/26/2020,Apartment,4,1,3,Poor,Sale,156459
8,492,199,8,11/22/2024,Studio,1,1,1,Good,Sale,202165
9,425,20,9,2/10/2021,Apartment,2,1,2,Fair,Sale,134024
10,1253,20,10,1/10/2022,Apartment,3,2,3,Fair,Sale,270048
11,1565,238,11,10/22/2022,Office,4,2,0,Good,Sale,245021
12,484,137,12,12/20/2021,Apartment,4,2,3,Poor,Rent,3453
13,408,223,13,2/5/2023,Villa,7,6,3,Good,Rent,9576
14,51,110,14,12/5/2020,Villa,7,6,0,Good,Sale,1706128
15,273,239,15,12/1/2022,Office,2,3,1,Good,Sale,286147
16,981,58,16,4/2/2024,Office,2,3,1,Good,Sale,167171
17,429,25,17,3/3/2023,Studio,2,1,0,Good,Rent,2300
18,207,68,18,7/17/2022,House,6,4,0,Fair,Sale,481421
19,115,94,19,12/18/2021,Villa,8,6,3,Good,Rent,18873
20,25,9,20,1/31/2023,Studio,2,1,1,Good,Rent,2095
21,738,105,21,7/28/2024,Villa,7,6,0,Poor,Rent,6975
22,1353,40,22,1/22/2024,House,5,2,0,Good,Rent,8753
23,1628,94,23,2/21/2020,Office,5,2,3,Good,Sale,466885
24,1704,10,24,5/24/2020,Villa,5,3,1,Fair,Sale,1074737
25,1610,114,25,4/30/2023,Studio,1,1,2,Fair,Sale,189042
26,206,133,26,6/7/2022,Villa,5,6,0,Good,Sale,855416
27,92,151,27,10/4/2022,House,3,4,1,Good,Rent,4236
28,745,58,28,8/8/2021,Villa,4,3,3,Good,Sale,1195848
29,350,122,29,7/31/2021,Apartment,3,3,2,Poor,Sale,137034
30,2,164,30,10/6/2021,House,4,2,2,Poor,Sale,447087
31,629,223,31,1/10/2023,Studio,1,1,0,Fair,Rent,1800
32,92,158,32,8/25/2021,Apartment,4,1,2,Good,Rent,3649
33,517,133,33,12/9/2024,Studio,1,1,2,Poor,Rent,1570
34,526,234,34,3/14/2020,Apartment,2,1,1,Fair,Rent,2430
35,1021,68,35,6/5/2020,House,5,4,3,Good,Rent,6037
36,1641,58,36,7/3/2021,Office,3,2,2,Good,Sale,189293
37,912,166,37,1/2/2021,Apartment,3,2,1,Poor,Rent,3314
38,745,201,38,6/26/2024,Villa,7,3,3,Fair,Sale,887341
39,1732,9,39,5/24/2023,Studio,1,1,0,Fair,Rent,1912
40,752,164,40,1/4/2024,Apartment,4,3,0,Good,Sale,408886
41,75,169,41,9/16/2020,Apartment,3,2,3,Good,Sale,263401
42,690,58,42,6/16/2021,Apartment,2,2,1,Good,Sale,291831
43,1310,166,43,2/7/2021,Office,5,1,0,Fair,Rent,3588
44,742,143,44,10/13/2020,Villa,6,5,2,Good,Sale,1380235
45,27,56,45,7/21/2022,Villa,6,3,0,Good,Rent,14270
46,455,20,46,3/11/2022,Office,2,2,2,Poor,Rent,1500
47,1041,40,47,8/2/2022,Villa,5,6,3,Good,Sale,944094
48,972,25,48,1/18/2024,House,3,4,1,Fair,Sale,369946
49,1492,94,49,6/29/2022,Studio,2,1,2,Good,Sale,243129
50,451,142,50,5/25/2020,House,5,3,3,Good,Rent,5122
51,1150,250,51,4/8/2022,Villa,5,3,2,Good,Sale,1243973
52,1122,10,52,1/5/2023,Office,3,3,3,Good,Sale,363228
53,1723,166,53,4/22/2023,House,3,2,0,Fair,Rent,3642
54,1414,238,54,9/11/2022,Villa,7,3,0,Good,Rent,9083
55,1440,59,55,12/26/2022,Studio,2,1,1,Good,Rent,2622
56,1004,115,56,6/13/2021,Villa,4,5,1,Fair,Sale,702309
57,923,114,57,4/30/2023,Office,5,2,2,Fair,Sale,256055
58,255,122,58,6/2/2022,Villa,4,5,0,Poor,Rent,6991
59,173,115,59,7/27/2024,Apartment,2,3,2,Good,Sale,173157
60,827,239,60,1/31/2022,Office,3,1,2,Good,Rent,2307
61,1634,163,61,12/3/2022,Office,4,2,3,Poor,Rent,2347
62,1151,170,62,3/25/2024,Office,1,2,0,Fair,Sale,127295
63,189,166,63,8/18/2024,Villa,7,5,3,Good,Rent,9516
64,78,220,64,5/30/2020,Villa,7,5,2,Fair,Rent,8256
65,1137,20,65,12/24/2023,Studio,2,1,1,Good,Sale,254493
66,592,204,66,11/28/2021,House,6,3,3,Fair,Sale,745397
67,1662,220,67,10/12/2021,Villa,5,5,1,Good,Rent,11539
68,493,143,68,7/22/2024,Office,5,3,1,Fair,Rent,3080
69,686,178,69,12/1/2020,Villa,8,6,2,Good,Rent,20198
70,465,59,70,7/31/2023,Villa,4,5,2,Fair,Sale,1166601
71,332,115,71,8/27/2021,Villa,6,3,1,Good,Rent,9485
72,691,169,72,8/19/2024,House,3,3,1,Fair,Sale,322297
73,765,238,73,12/4/2021,Apartment,2,1,3,Fair,Sale,160088
74,646,33,74,3/6/2023,Apartment,2,1,2,Good,Rent,3204
75,1084,56,75,9/5/2020,Studio,2,1,3,Fair,Sale,229571
76,1248,166,76,9/19/2024,Villa,8,5,0,Good,Sale,1175934
77,1082,170,77,6/8/2020,House,4,4,1,Good,Rent,7539
78,1220,234,78,2/1/2020,Studio,2,1,1,Good,Sale,260395
79,1116,25,79,6/6/2021,Apartment,2,1,3,Good,Sale,140693
80,717,110,80,4/6/2023,Studio,1,1,0,Good,Rent,2678
81,478,9,81,7/5/2022,Villa,5,4,3,Good,Sale,959830
82,1462,234,82,1/3/2024,House,3,3,3,Fair,Rent,3303
83,355,115,83,8/9/2022,Office,5,3,1,Fair,Rent,2161
84,1083,238,84,6/4/2021,Studio,1,1,3,Poor,Sale,89080
85,419,183,85,4/25/2022,Villa,6,4,0,Good,Rent,9712
86,1152,76,86,11/15/2021,Studio,1,1,2,Good,Sale,121910
87,33,83,87,12/16/2021,House,3,3,0,Good,Sale,573304
88,259,56,88,7/6/2023,Apartment,4,3,0,Good,Rent,4532
89,1174,10,89,5/10/2022,Studio,2,1,1,Poor,Sale,184761
90,276,114,90,6/24/2020,Villa,5,5,2,Fair,Sale,821398
91,1727,119,91,7/1/2021,Villa,8,5,2,Poor,Rent,9032
92,904,68,92,3/21/2023,Villa,7,4,1,Fair,Rent,12273
93,331,165,93,4/6/2022,Apartment,2,3,1,Fair,Sale,184463
94,1609,143,94,7/21/2023,Office,1,2,3,Fair,Rent,2093
95,60,58,95,7/10/2023,Apartment,4,2,0,Poor,Sale,260449
96,1444,164,96,11/18/2023,Office,3,3,3,Good,Sale,225139
97,774,25,97,12/22/2020,Office,4,1,2,Good,Sale,251183
98,321,163,98,5/23/2022,House,4,3,3,Fair,Sale,546403
99,280,164,99,1/4/2022,Office,1,3,1,Poor,Rent,2125
100,218,122,100,3/18/2024,Villa,6,6,0,Fair,Sale,886111
101,29,201,101,4/15/2024,Villa,6,3,0,Poor,Rent,10059
102,1079,25,102,11/14/2020,Apartment,4,1,3,Good,Sale,270952
103,1169,9,103,3/25/2024,Apartment,4,2,2,Good,Sale,277753
104,555,199,104,1/7/2023,Apartment,2,2,2,Good,Rent,2054
105,464,94,105,1/28/2023,Apartment,4,1,1,Good,Rent,3094
106,579,25,106,8/29/2022,Apartment,3,2,1,Fair,Rent,1985
107,1020,142,107,7/6/2022,Office,5,3,3,Fair,Rent,2472
108,25,8,108,1/30/2024,Villa,7,6,2,Good,Sale,1470284
109,818,105,109,3/5/2022,Villa,6,5,0,Good,Rent,13795
110,1255,204,110,3/5/2020,Studio,2,1,0,Good,Sale,161867
111,1203,94,111,8/28/2021,House,6,2,2,Good,Rent,10010
112,1637,238,112,6/27/2022,Villa,4,4,3,Fair,Rent,9780
113,360,94,113,9/25/2020,House,4,4,2,Fair,Sale,621907
114,608,143,114,3/22/2023,Apartment,3,2,3,Fair,Sale,301934
115,169,122,115,4/28/2021,House,4,4,3,Poor,Sale,505419
116,1217,110,116,12/24/2021,Studio,2,1,1,Good,Rent,1915
117,1332,56,117,3/27/2024,House,5,3,1,Good,Sale,697721
118,798,38,118,5/13/2020,Office,1,1,0,Good,Sale,215938
119,446,143,119,2/22/2020,Studio,2,1,2,Fair,Rent,1690
120,1373,224,120,3/12/2024,Villa,6,5,2,Good,Rent,9707
121,814,250,121,6/14/2020,House,6,3,0,Good,Rent,9600
122,122,174,122,5/16/2022,Apartment,4,1,1,Good,Sale,309382
123,1197,220,123,4/1/2024,Studio,1,1,2,Good,Rent,1533
124,250,68,124,11/18/2024,Apartment,3,1,2,Good,Sale,229783
125,1196,33,125,1/16/2022,House,3,4,2,Good,Sale,413792
126,111,31,126,2/19/2023,House,4,2,0,Good,Rent,4494
127,239,239,127,4/21/2024,Office,3,3,2,Good,Rent,2495
128,1184,119,128,2/23/2022,Apartment,3,1,0,Good,Rent,2524
129,773,201,129,1/11/2024,Villa,8,3,3,Good,Rent,9414
130,1488,56,130,2/25/2020,Villa,7,3,0,Good,Rent,9590
131,1159,133,131,6/5/2020,Apartment,4,1,1,Good,Sale,254259
132,1452,8,132,4/7/2022,Office,1,3,2,Good,Sale,203544
133,617,20,133,7/4/2024,Studio,1,1,0,Good,Sale,172616
134,1435,178,134,6/25/2023,Office,5,1,0,Poor,Sale,389337
135,1435,110,135,10/23/2021,Apartment,4,3,2,Fair,Sale,212126
136,308,76,136,12/26/2021,Studio,2,1,0,Good,Rent,2188
137,1230,58,137,3/28/2021,Office,1,2,1,Fair,Rent,1675
138,1233,40,138,8/27/2021,Studio,2,1,2,Fair,Sale,149474
139,346,165,139,1/31/2023,Studio,2,1,0,Good,Sale,281333
140,1234,178,140,4/19/2021,Office,1,3,0,Fair,Sale,205592
141,1395,88,141,5/31/2024,Apartment,2,3,3,Fair,Sale,182009
142,1670,10,142,7/9/2024,Villa,6,3,1,Poor,Rent,7400
143,906,10,143,2/16/2020,House,3,4,1,Good,Rent,5255
144,629,38,144,10/1/2021,Office,1,3,2,Poor,Sale,113963
