rent_id,agreement_date,rent_start_date,rent_end_date,terms
1,2023-03-01,2023-03-21,2025-04-09,Lease agreement for Office in TX for 25 months. Condition: Fair.
2,2024-12-31,2025-01-22,2026-06-16,Lease agreement for Office in TX for 17 months. Condition: Fair.
3,2024-12-31,2025-01-15,2027-02-04,Lease agreement for Office in TX for 25 months. Condition: Fair.
4,2024-11-21,2024-11-24,2026-02-17,Lease agreement for Apartment in FL for 15 months. Condition: Good.
5,2024-12-31,2025-01-15,2027-12-01,Lease agreement for Apartment in FL for 35 months. Condition: Good.
6,2024-12-31,2025-01-28,2025-08-26,Lease agreement for Apartment in FL for 7 months. Condition: Good.
7,2023-03-19,2023-03-21,2024-01-15,Lease agreement for House in TX for 10 months. Condition: Good.
8,2021-04-09,2021-04-28,2022-12-19,Lease agreement for Apartment in TX for 20 months. Condition: Fair.
9,2023-01-06,2023-01-30,2024-03-25,Lease agreement for Apartment in TX for 14 months. Condition: Fair.
10,2024-07-25,2024-07-26,2026-02-16,Lease agreement for Apartment in TX for 19 months. Condition: Fair.
11,2021-12-25,2021-12-31,2022-06-29,Lease agreement for Office in CA for 6 months. Condition: Good.
12,2023-06-27,2023-06-29,2024-09-21,Lease agreement for Office in CA for 15 months. Condition: Good.
13,2024-11-24,2024-12-21,2025-11-16,Lease agreement for Office in CA for 11 months. Condition: Good.
14,2024-08-19,2024-08-21,2025-12-14,Lease agreement for Studio in IL for 16 months. Condition: Good.
15,2024-12-15,2025-01-09,2026-10-31,Lease agreement for House in CA for 22 months. Condition: Fair.
16,2024-12-31,2025-01-29,2025-08-27,Lease agreement for House in CA for 7 months. Condition: Fair.
17,2024-12-31,2025-01-27,2027-04-17,Lease agreement for House in CA for 27 months. Condition: Fair.
18,2023-12-22,2024-01-07,2024-09-03,Lease agreement for House in TX for 8 months. Condition: Good.
19,2024-11-20,2024-12-12,2026-12-02,Lease agreement for House in TX for 24 months. Condition: Good.
20,2024-09-29,2024-10-03,2027-07-20,Lease agreement for Office in FL for 34 months. Condition: Fair.
21,2024-12-31,2025-01-13,2027-09-30,Lease agreement for Office in FL for 33 months. Condition: Fair.
22,2024-12-31,2025-01-04,2025-08-02,Lease agreement for Office in FL for 7 months. Condition: Fair.
23,2024-05-21,2024-06-03,2027-04-19,Lease agreement for Villa in TX for 35 months. Condition: Good.
24,2024-11-11,2024-11-15,2027-02-03,Lease agreement for Apartment in FL for 27 months. Condition: Good.
25,2024-10-29,2024-11-08,2026-12-28,Lease agreement for Villa in CA for 26 months. Condition: Good.
26,2024-12-31,2025-01-09,2027-03-30,Lease agreement for Villa in CA for 27 months. Condition: Good.
27,2024-09-28,2024-10-08,2027-05-26,Lease agreement for Apartment in IL for 32 months. Condition: Good.
28,2024-12-31,2025-01-28,2025-10-25,Lease agreement for Apartment in IL for 9 months. Condition: Good.
29,2024-12-31,2025-01-15,2026-10-07,Lease agreement for Apartment in IL for 21 months. Condition: Good.
30,2024-08-31,2024-09-09,2026-05-02,Lease agreement for Villa in TX for 20 months. Condition: Good.
31,2024-12-31,2025-01-19,2027-08-07,Lease agreement for Villa in TX for 31 months. Condition: Good.
32,2024-12-31,2025-01-23,2026-04-18,Lease agreement for Villa in TX for 15 months. Condition: Good.
33,2024-12-23,2025-01-12,2027-08-30,Lease agreement for Office in IL for 32 months. Condition: Poor.
34,2024-12-31,2025-01-15,2027-04-05,Lease agreement for Office in IL for 27 months. Condition: Poor.
35,2022-08-25,2022-09-02,2025-01-19,Lease agreement for Office in CA for 29 months. Condition: Good.
36,2024-12-31,2025-01-01,2025-07-30,Lease agreement for Office in CA for 7 months. Condition: Good.
37,2024-01-20,2024-02-17,2026-06-06,Lease agreement for Villa in NY for 28 months. Condition: Good.
38,2024-04-22,2024-04-23,2026-02-12,Lease agreement for Apartment in FL for 22 months. Condition: Good.
39,2024-12-31,2025-01-14,2026-05-09,Lease agreement for Apartment in FL for 16 months. Condition: Good.
40,2024-06-11,2024-06-23,2025-03-20,Lease agreement for Villa in CA for 9 months. Condition: Good.
41,2024-04-04,2024-04-05,2026-11-21,Lease agreement for Office in NY for 32 months. Condition: Fair.
42,2024-12-31,2025-01-22,2026-05-17,Lease agreement for Office in NY for 16 months. Condition: Fair.
43,2023-08-09,2023-08-12,2025-11-29,Lease agreement for Studio in FL for 28 months. Condition: Fair.
44,2023-08-20,2023-09-04,2024-04-01,Lease agreement for Office in IL for 7 months. Condition: Good.
45,2024-11-27,2024-12-26,2026-09-17,Lease agreement for Office in IL for 21 months. Condition: Good.
46,2023-02-09,2023-03-05,2025-04-23,Lease agreement for Office in NY for 26 months. Condition: Fair.
47,2024-12-31,2025-01-29,2026-10-21,Lease agreement for Office in NY for 21 months. Condition: Fair.
48,2024-12-31,2025-01-30,2026-04-25,Lease agreement for Office in NY for 15 months. Condition: Fair.
