visit_id,property_id,client_id,agent_id,visit_date,reason
1,645,1279,108,2021-03-21,Considering rent
2,2732,742,147,2023-12-04,Comparing Options
3,2203,882,226,2023-08-23,Comparing Options
4,657,884,41,2023-05-10,Second Visit
5,2502,306,96,2024-01-18,Considering rent
6,1213,1237,242,2024-02-10,Comparing Options
7,556,1823,147,2021-07-19,Viewing
8,1754,1583,81,2020-12-16,Second Visit
9,1816,1131,125,2023-08-11,Neighborhood Check
10,2867,305,230,2023-11-13,Viewing
11,2754,107,74,2023-12-28,Considering purchase
12,2280,831,226,2023-08-23,Neighborhood Check
13,838,1179,146,2020-05-30,Viewing
14,130,1090,92,2022-10-25,Considering purchase
15,623,2021,149,2021-10-13,Viewing
16,2117,1665,159,2023-06-15,Considering purchase
17,1858,600,15,2024-02-28,Second Visit
18,1976,1938,242,2024-01-20,Viewing
19,1349,489,106,2023-06-25,Comparing Options
20,105,1719,197,2020-12-09,Comparing Options
21,349,786,60,2022-05-09,Viewing
22,2588,857,131,2021-05-25,Neighborhood Check
23,2070,1475,132,2021-04-16,Considering rent
24,2923,1550,123,2022-04-15,Neighborhood Check
25,850,1050,241,2023-09-27,Viewing
26,2836,1865,230,2023-10-04,Second Visit
27,1362,1507,121,2021-09-15,Comparing Options
28,634,2025,233,2022-07-29,Second Visit
29,600,69,48,2020-04-17,Second Visit
30,2153,540,131,2022-03-20,Price Inquiry
31,1186,1158,57,2024-02-29,Second Visit
32,110,1193,86,2022-09-30,Considering purchase
33,1043,1621,240,2020-03-12,Considering purchase
34,1929,1600,192,2024-01-05,Second Visit
35,615,883,32,2022-03-24,Considering purchase
36,740,466,235,2021-11-18,Considering purchase
37,2277,1019,85,2021-08-09,Second Visit
38,815,1958,168,2020-05-07,Second Visit
39,471,549,92,2020-02-03,Price Inquiry
40,345,1000,70,2020-12-08,Viewing
41,2850,262,246,2022-04-12,Viewing
42,95,1890,79,2021-02-15,Comparing Options
43,2768,2058,152,2023-04-16,Neighborhood Check
44,1407,172,84,2022-02-28,Considering purchase
45,723,1838,101,2022-06-05,Considering rent
46,2150,1475,124,2023-07-03,Viewing
47,1054,962,159,2021-09-13,Considering rent
48,1141,829,189,2024-09-26,Considering rent
49,1741,1104,11,2020-06-25,Considering purchase
50,1552,352,92,2022-01-09,Neighborhood Check
51,2336,179,36,2022-02-10,Neighborhood Check
52,1836,1209,249,2023-03-18,Considering purchase
53,266,535,97,2024-10-02,Price Inquiry
54,418,437,69,2024-11-29,Viewing
55,297,645,116,2024-08-26,Second Visit
56,1956,1893,167,2022-08-19,Second Visit
57,1253,44,7,2022-04-11,Considering purchase
58,1759,1824,194,2022-02-03,Second Visit
59,176,1514,39,2022-01-30,Considering purchase
60,1998,22,5,2023-03-23,Price Inquiry
61,1402,241,218,2023-04-01,Second Visit
62,4,765,118,2024-08-28,Viewing
63,2077,948,77,2024-01-31,Comparing Options
64,1619,1298,162,2023-02-03,Considering purchase
65,2536,1825,186,2020-03-01,Second Visit
66,2385,1650,197,2022-02-14,Price Inquiry
67,1915,590,211,2022-04-17,Second Visit
68,139,1457,155,2022-11-22,Considering rent
69,1768,916,215,2024-06-14,Considering purchase
70,2153,1605,119,2020-12-05,Maintenance Inquiry
71,98,647,241,2022-08-03,Second Visit
72,2833,1911,71,2022-01-17,Considering rent
73,1321,404,13,2023-05-18,Considering rent
74,1853,2049,181,2021-05-09,Neighborhood Check
75,247,1780,184,2020-11-27,Price Inquiry
76,1190,1413,77,2023-05-24,Second Visit
77,1763,1788,117,2024-10-02,Viewing
78,2571,1100,30,2024-12-08,Second Visit
79,228,399,138,2023-12-09,Second Visit
80,2968,156,184,2023-03-18,Viewing
81,1889,1513,109,2024-12-07,Neighborhood Check
82,1735,1680,149,2021-01-02,Considering rent
83,2027,119,123,2022-08-06,Considering rent
84,2563,202,100,2020-10-20,Comparing Options
85,2349,2002,44,2022-01-26,Considering rent
86,207,742,154,2024-12-16,Considering purchase
87,2661,2005,27,2020-06-03,Comparing Options
88,2573,103,154,2020-12-21,Second Visit
89,950,1046,248,2021-02-08,Considering rent
90,2216,793,229,2020-04-11,Viewing
91,129,919,181,2021-10-15,Second Visit
92,2695,1911,173,2024-05-07,Second Visit
93,2669,769,209,2023-06-17,Second Visit
94,1152,458,221,2023-12-09,Neighborhood Check
95,2625,1651,87,2024-12-25,Price Inquiry
96,630,1135,124,2024-08-17,Second Visit
97,447,1264,43,2020-04-24,Viewing
98,1142,688,245,2021-11-26,Viewing
99,554,1057,36,2022-11-30,Second Visit
100,1434,1931,90,2023-10-28,Viewing
101,1254,1190,222,2024-10-16,Comparing Options
102,2295,544,81,2020-11-26,Considering rent
103,1487,1655,192,2020-07-24,Viewing
104,915,1460,227,2024-08-31,Viewing
105,1160,298,6,2023-06-13,Second Visit
106,1934,1318,37,2023-02-27,Comparing Options
107,2692,899,72,2023-04-27,Second Visit
108,753,1772,154,2022-02-18,Viewing
109,2092,148,144,2021-01-23,Viewing
110,1623,824,8,2024-03-27,Maintenance Inquiry
111,2362,594,225,2024-07-08,Viewing
112,1782,211,69,2021-03-13,Second Visit
113,2127,436,80,2024-06-26,Viewing
114,1886,1221,79,2021-03-21,Viewing
115,408,1467,125,2022-01-02,Price Inquiry
116,1110,877,127,2021-03-14,Second Visit
117,2249,841,188,2021-01-04,Neighborhood Check
118,1007,864,189,2022-03-13,Viewing
119,2681,508,242,2024-02-11,Viewing
120,2938,1833,248,2024-08-24,Considering rent
121,1677,2021,13,2021-10-31,Price Inquiry
122,1845,1431,74,2021-03-14,Second Visit
123,1582,887,231,2024-05-13,Price Inquiry
124,2756,1306,219,2020-01-22,Considering rent
125,167,870,15,2023-03-24,Second Visit
126,1368,2036,155,2021-12-03,Considering rent
127,2435,1628,28,2023-01-10,Second Visit
128,1126,1853,216,2024-05-28,Price Inquiry
129,2397,1782,212,2023-06-17,Viewing
130,2345,447,206,2024-04-16,Viewing
131,2314,656,32,2021-05-02,Second Visit
132,1893,1713,204,2022-05-27,Maintenance Inquiry
133,904,1520,249,2022-02-04,Viewing
134,1495,409,192,2024-07-23,Viewing
135,2561,1654,87,2020-11-12,Considering rent
136,2152,369,36,2021-04-14,Second Visit
137,2414,13,197,2020-10-27,Comparing Options
138,1067,1226,69,2022-01-20,Considering purchase
139,1508,352,231,2020-09-14,Second Visit
140,2071,1445,78,2022-05-16,Comparing Options
141,1024,1217,134,2020-02-10,Second Visit
142,92,673,16,2024-04-09,Considering purchase
143,2443,1804,72,2023-05-05,Viewing
144,969,960,49,2021-05-10,Neighborhood Check
145,1155,1873,129,2022-11-08,Price Inquiry
146,1305,1941,219,2021-01-11,Neighborhood Check
147,1070,1030,35,2024-08-23,Considering purchase
148,2751,1842,90,2021-10-19,Price Inquiry
149,1978,1787,23,2022-06-23,Viewing
150,743,1182,241,2024-08-28,Neighborhood Check
151,2755,1797,106,2024-03-12,Second Visit
152,1258,498,103,2024-09-15,Considering purchase
153,2925,713,22,2021-07-25,Viewing
154,280,1303,19,2021-10-23,Viewing
155,824,616,182,2024-02-01,Viewing
156,1032,2028,118,2021-01-31,Considering purchase
157,732,1727,13,2022-05-27,Viewing
158,629,1410,7,2021-08-07,Viewing
159,2387,1686,195,2022-03-03,Price Inquiry
160,1111,615,138,2020-09-16,Considering purchase
161,2932,749,109,2022-03-04,Price Inquiry
162,5,1504,244,2022-12-12,Second Visit
163,1508,30,135,2021-05-31,Viewing
164,2141,1765,13,2023-04-17,Second Visit
165,1008,1090,52,2023-02-02,Second Visit
166,1053,438,246,2022-10-03,Viewing
167,2768,797,16,2022-09-09,Neighborhood Check
168,1214,1329,60,2022-03-26,Viewing
169,2791,723,41,2024-12-14,Considering purchase
170,2167,321,128,2022-07-03,Second Visit
171,2700,1454,69,2022-04-06,Price Inquiry
172,162,774,85,2020-12-19,Viewing
173,1824,857,148,2023-09-17,Considering purchase
174,2523,483,244,2020-05-04,Considering rent
175,645,1466,78,2020-12-13,Viewing
176,2629,815,107,2021-05-01,Considering purchase
177,613,783,124,2020-11-13,Considering rent
178,2070,1061,5,2024-01-21,Price Inquiry
179,2179,517,160,2024-03-19,Considering purchase
180,1990,1518,46,2022-02-01,Price Inquiry
181,2606,552,227,2021-07-09,Viewing
182,1904,800,104,2024-08-10,Considering rent
183,1351,836,62,2021-01-06,Considering purchase
184,1812,407,147,2022-05-12,Considering rent
185,1884,1075,82,2023-12-22,Viewing
186,2198,1189,21,2022-08-02,Neighborhood Check
187,1156,1034,207,2020-01-03,Viewing
188,71,932,3,2023-03-12,Second Visit
189,619,1502,39,2023-12-13,Second Visit
190,294,1093,46,2023-01-18,Second Visit
191,2889,648,69,2020-02-22,Second Visit
192,245,2016,27,2021-12-18,Viewing
193,1726,1162,17,2023-03-25,Considering rent
194,845,569,28,2024-08-23,Considering rent
195,896,347,11,2020-07-03,Neighborhood Check
196,2093,1427,186,2024-01-26,Viewing
197,1063,472,118,2020-03-24,Viewing
198,79,1608,117,2022-04-30,Neighborhood Check
199,561,1899,188,2023-12-16,Price Inquiry
200,34,1890,16,2020-08-20,Second Visit
201,1929,322,236,2021-10-07,Second Visit
202,2748,2049,66,2022-07-24,Second Visit
203,2494,1341,82,2022-12-09,Considering rent
204,2142,1836,72,2024-02-19,Considering rent
205,2268,1003,121,2023-07-13,Viewing
