address_id,street,city,state,latitude,longitude
1,5545 Maxwell Springs,Joliet,IL,41.59586,-88.086585
2,9774 Nicole Greens,Springfield,IL,39.784853,-89.655079
3,13699 Baldwin Wells,Elgin,IL,42.014133,-88.22813
4,5822 Kane Plaza,Chicago,IL,41.953988,-87.677038
5,710 Jesus Lakes,Tallahassee,FL,30.419741,-84.260663
6,8393 David Expressway,Fresno,CA,36.896877,-119.726253
7,498 Davis Key,Peoria,IL,40.747035,-89.505273
8,03792 Larry Landing,Rochester,NY,43.138903,-77.691527
9,6776 Michael Bridge,Aurora,IL,41.700845,-88.265462
10,199 Vincent Rapids,Yonkers,NY,40.928033,-73.898543
11,254 Stacy Mount,Chicago,IL,41.955388,-87.554782
12,525 Webb Summit,Rochester,NY,43.189467,-77.673833
13,4388 Matthew Cliff,Naperville,IL,41.726375,-88.15904
14,1968 Campbell Union,San Jose,CA,37.255371,-121.957117
15,134 House Plains,San Diego,CA,32.745227,-117.01304
16,783 Hunt Parkways,Houston,TX,29.830627,-95.220129
17,8891 Jeremy Dale,St. Petersburg,FL,27.799603,-82.682419
18,718 Gonzalez Freeway,Elgin,IL,42.046818,-88.261019
19,3126 Jasmine Tunnel,Sacramento,CA,38.666955,-121.466107
20,22921 Larry Cove,Joliet,IL,41.521215,-88.050082
21,1185 John Harbors,Dallas,TX,32.852686,-96.730317
22,0217 Destiny Course,Buffalo,NY,42.866028,-78.800197
23,6924 Fernandez Plains,San Francisco,CA,37.799135,-122.471595
24,9693 Grant Springs,Syracuse,NY,43.024818,-76.194799
25,2866 Griffin Canyon,San Francisco,CA,37.745273,-122.371852
26,875 Tracey Wall,Springfield,IL,39.7095,-89.656891
27,5247 Andrews Groves,Springfield,IL,39.722573,-89.667559
28,874 Shannon Knoll,Rochester,NY,43.149117,-77.699709
29,351 Bolton Ferry,Springfield,IL,39.787444,-89.63281
30,0247 Julie Lakes,San Jose,CA,37.399631,-121.815687
31,9573 Tracy Plain,Albany,NY,42.651286,-73.775969
32,555 James Fort,Tallahassee,FL,30.494931,-84.273826
33,260 David Parkway,New York,NY,40.734002,-73.914386
34,27014 Kelly Pike,New Rochelle,NY,40.904009,-73.752352
35,2415 Justin Wells,Fort Lauderdale,FL,26.191342,-80.169271
36,57973 Jennifer Passage,Aurora,IL,41.732238,-88.258755
37,338 Andres Underpass,Buffalo,NY,42.850833,-78.896609
38,093 Jeremy Crescent,Springfield,IL,39.74804,-89.628334
39,6888 Michelle Glens,Yonkers,NY,40.90321,-73.884778
40,99130 Le Island,Rochester,NY,43.138563,-77.655619
41,3428 Brittany Flats,Orlando,FL,28.557558,-81.361924
42,4924 Bowman Island,Mount Vernon,NY,40.906588,-73.82133
43,9905 Bailey Village,Albany,NY,42.638621,-73.754307
44,11858 Park Islands,Albany,NY,42.63738,-73.787937
45,574 Weber Place,Los Angeles,CA,34.037544,-118.659767
46,6617 Michael Throughway,Elgin,IL,42.017165,-88.218544
47,34290 Randall Rapids,Fort Worth,TX,32.773123,-97.319426
48,553 Goodman Forges,Corpus Christi,TX,27.762785,-97.350502
49,764 Victoria Streets,Yonkers,NY,40.921201,-73.855101
50,797 Jason Spurs,Peoria,IL,40.705477,-89.580239
51,9650 Debra Light,Los Angeles,CA,33.995584,-118.266814
52,2309 Barbara Meadows,Syracuse,NY,43.076952,-76.18314
53,302 Darren Landing,Peoria,IL,40.70289,-89.590488
54,000 Rebecca Cliffs,Naperville,IL,41.755058,-88.10314
55,4763 Stevenson Mountain,Rochester,NY,43.132024,-77.687996
56,4679 Diana Island,Tampa,FL,27.946534,-82.498717
57,11382 Yvonne Extension,Peoria,IL,40.781127,-89.592976
58,34148 Tom Centers,Oakland,CA,37.847848,-122.23059
59,310 Scott Via,Springfield,IL,39.785317,-89.693308
60,872 Sanchez Avenue,Peoria,IL,40.703783,-89.503637
61,401 Lara Bridge,St. Petersburg,FL,27.791515,-82.611389
62,48273 Anthony Causeway,Naperville,IL,41.714389,-88.189551
63,59275 Brittany Freeway,Rockford,IL,42.255997,-89.090192
64,710 Valerie Track,Springfield,IL,39.730442,-89.684202
65,453 Brown Ways,San Jose,CA,37.206504,-122.074477
66,063 Galloway Harbors,Rochester,NY,43.13976,-77.698953
67,307 Schneider Court,Rochester,NY,43.106453,-77.692621
68,3193 Burton Greens,St. Petersburg,FL,27.783067,-82.621598
69,34845 Roberts Flats,San Jose,CA,37.223235,-121.976679
70,29235 Erika Ranch,San Diego,CA,32.736705,-116.92006
71,97119 Hoover Dam,Tallahassee,FL,30.436976,-84.219971
72,21213 Berry Ferry,Springfield,IL,39.79429,-89.608454
73,0499 Leonard Brooks,Tampa,FL,27.909205,-82.42766
74,958 Ruiz Squares,Sacramento,CA,38.578869,-121.528389
75,7319 Johnson Passage,Syracuse,NY,43.088429,-76.119076
76,55302 Omar Ports,Houston,TX,29.806473,-95.147029
77,9673 Hubbard Summit,Fresno,CA,36.754212,-119.852778
78,608 Jessica Squares,Sacramento,CA,38.555118,-121.54211
79,2715 Shepard Oval,Rockford,IL,42.27956,-89.092304
80,53644 Pacheco Causeway,Fresno,CA,36.738115,-119.76539
81,11818 Nicole Fort,Orlando,FL,28.583195,-81.323063
82,7453 Kevin Port,Peoria,IL,40.725249,-89.501803
83,91500 Stone Junction,Aurora,IL,41.77496,-88.291948
84,62841 Spence Trace,Orlando,FL,28.456253,-81.49594
85,0009 Summer Islands,Orlando,FL,28.464862,-81.359994
86,271 Moss Lake,Corpus Christi,TX,27.838009,-97.352778
87,0640 Alan Light,Sacramento,CA,38.514669,-121.449203
88,120 Patricia Mills,Albany,NY,42.636069,-73.777113
89,395 Glenn Coves,Rochester,NY,43.144108,-77.697003
90,270 Wilson Mountain,Aurora,IL,41.744017,-88.297076
91,1587 Allen Point,Jacksonville,FL,30.340394,-81.65205
92,33827 Lisa Mountains,Buffalo,NY,42.910184,-78.840151
93,5008 Quinn Mills,Fort Lauderdale,FL,26.141019,-80.146804
94,46141 Cooley Bridge,Yonkers,NY,40.932361,-73.8833
95,535 Kimberly Trafficway,Albany,NY,42.640279,-73.758671
96,7477 Sarah Trafficway,Miami,FL,25.834514,-80.193382
97,060 Schmitt Street,Dallas,TX,32.732713,-96.799717
98,51163 Luis Turnpike,Syracuse,NY,43.009796,-76.126329
99,16268 Wilkins Ports,Syracuse,NY,43.053883,-76.151023
