maintenance_id,property_id,agent_id,owner_id,description,maintenance_type,cost,maintenance_date
1,2,151,657,Install Cleaning at property,Cleaning,1770,2024-12-30
2,2,151,657,Install Plumbing at property,Plumbing,1275,2024-12-27
3,3,183,206,Install Roof at property,Roof,1999,2022-07-05
4,3,183,206,Fix Painting at property,Painting,115,2023-06-16
5,4,56,1220,Install Electrical at property,Electrical,2266,2024-11-20
6,4,56,1220,Repair Roof at property,Roof,448,2024-11-17
7,4,56,1220,Repair Cleaning at property,Cleaning,2160,2024-12-12
8,4,56,1220,Repair Appliances at property,Appliances,2447,2024-12-19
9,6,9,142,Install Plumbing at property,Plumbing,1875,2024-10-05
10,6,9,142,Repair Appliances at property,Appliances,729,2023-05-12
11,6,9,142,Replace HVAC at property,HVAC,2069,2024-03-23
12,6,9,142,Fix Roof at property,Roof,1892,2024-08-01
13,7,174,1165,Repair Cleaning at property,Cleaning,2250,2023-11-08
14,7,174,1165,Replace Cleaning at property,Cleaning,117,2021-01-18
15,7,174,1165,Fix Electrical at property,Electrical,6325,2023-12-12
16,7,174,1165,Replace Roof at property,Roof,901,2022-07-02
17,7,174,1165,Fix Plumbing at property,Plumbing,3748,2021-01-26
18,9,20,425,Repair Electrical at property,Electrical,868,2022-07-25
19,9,20,425,Fix Roof at property,Roof,1665,2023-03-31
20,9,20,425,Install Plumbing at property,Plumbing,1745,2022-01-20
21,10,20,1253,Fix Plumbing at property,Plumbing,117,2022-09-04
22,12,137,484,Repair Roof at property,Roof,6790,2023-02-26
23,12,137,484,Fix Painting at property,Painting,609,2023-10-06
24,12,137,484,Repair Roof at property,Roof,191,2023-06-30
25,12,137,484,Replace Plumbing at property,Plumbing,837,2022-05-07
26,12,137,484,Fix Roof at property,Roof,760,2022-10-21
27,13,223,408,Install Appliances at property,Appliances,1185,2024-04-11
28,15,239,273,Repair HVAC at property,HVAC,559,2023-01-16
29,15,239,273,Fix Electrical at property,Electrical,577,2024-01-14
30,15,239,273,Install Electrical at property,Electrical,2272,2024-05-17
31,17,25,429,Fix Cleaning at property,Cleaning,1625,2023-05-21
32,18,68,207,Replace Cleaning at property,Cleaning,1672,2024-04-28
33,20,9,25,Repair Electrical at property,Electrical,1385,2024-06-06
34,21,105,738,Replace Electrical at property,Electrical,1209,2024-10-27
35,21,105,738,Repair Roof at property,Roof,5926,2024-07-31
36,21,105,738,Replace Electrical at property,Electrical,3906,2024-10-02
37,23,94,1628,Repair Painting at property,Painting,521,2023-09-05
38,24,10,1704,Repair Electrical at property,Electrical,933,2023-07-26
39,29,122,350,Repair Cleaning at property,Cleaning,3542,2024-01-23
40,29,122,350,Install Cleaning at property,Cleaning,1218,2022-04-22
41,29,122,350,Replace Electrical at property,Electrical,6355,2023-10-13
42,29,122,350,Replace Cleaning at property,Cleaning,812,2024-02-06
43,29,122,350,Fix Cleaning at property,Cleaning,6628,2022-03-13
44,29,122,350,Install HVAC at property,HVAC,2177,2024-08-22
