rent_id,property_id,client_id,agent_id,owner_id,rent_amount,commission_rate,commission_amount,commission_payment_method,commission_payment_date,agreement_date,rent_start_date,rent_end_date,terms,rent_months
1,107,794,240,1020,4230.0,0.1,10575.0,Credit Card,2024-04-25,2023-03-01,2023-03-21,2025-04-09,Lease agreement for Office in TX for 25 months. Condition: Fair.,25
2,107,1339,168,1020,3470.0,0.1,5899.0,Credit Card,2024-12-31,2024-12-31,2025-01-22,2026-06-16,Lease agreement for Office in TX for 17 months. Condition: Fair.,17
3,107,1324,212,1020,3740.0,0.05,4675.0,Credit Card,2024-12-31,2024-12-31,2025-01-15,2027-02-04,Lease agreement for Office in TX for 25 months. Condition: Fair.,25
4,2402,1075,84,755,2640.0,0.1,3960.0,Cash,2024-11-27,2024-11-21,2024-11-24,2026-02-17,Lease agreement for Apartment in FL for 15 months. Condition: Good.,15
5,2402,168,87,755,2950.0,0.1,10325.0,Cash,2024-12-31,2024-12-31,2025-01-15,2027-12-01,Lease agreement for Apartment in FL for 35 months. Condition: Good.,35
6,2402,391,3,755,2590.0,0.05,906.5,Bank Transfer,2024-12-31,2024-12-31,2025-01-28,2025-08-26,Lease agreement for Apartment in FL for 7 months. Condition: Good.,7
7,1112,1043,36,552,5120.0,0.05,2560.0,Credit Card,2024-11-24,2023-03-19,2023-03-21,2024-01-15,Lease agreement for House in TX for 10 months. Condition: Good.,10
8,2439,62,44,869,1660.0,0.05,1660.0,Cash,2024-03-06,2021-04-09,2021-04-28,2022-12-19,Lease agreement for Apartment in TX for 20 months. Condition: Fair.,20
9,2439,1187,179,869,2050.0,0.05,1435.0,Cash,2024-11-29,2023-01-06,2023-01-30,2024-03-25,Lease agreement for Apartment in TX for 14 months. Condition: Fair.,14
10,2439,523,97,869,1810.0,0.05,1719.5,Credit Card,2024-08-28,2024-07-25,2024-07-26,2026-02-16,Lease agreement for Apartment in TX for 19 months. Condition: Fair.,19
11,2007,1582,162,1422,3980.0,0.1,2388.0,Bank Transfer,2024-09-04,2021-12-25,2021-12-31,2022-06-29,Lease agreement for Office in CA for 6 months. Condition: Good.,6
12,2007,827,176,1422,4110.0,0.05,3082.5,Cash,2024-06-04,2023-06-27,2023-06-29,2024-09-21,Lease agreement for Office in CA for 15 months. Condition: Good.,15
13,2007,168,13,1422,3320.0,0.1,3652.0,Credit Card,2024-12-23,2024-11-24,2024-12-21,2025-11-16,Lease agreement for Office in CA for 11 months. Condition: Good.,11
14,1584,2060,16,808,1740.0,0.1,2784.0,Credit Card,2024-08-21,2024-08-19,2024-08-21,2025-12-14,Lease agreement for Studio in IL for 16 months. Condition: Good.,16
15,561,1793,180,233,4470.0,0.05,4917.0,Cash,2024-12-26,2024-12-15,2025-01-09,2026-10-31,Lease agreement for House in CA for 22 months. Condition: Fair.,21
16,561,1805,232,233,5350.0,0.05,1872.5,Bank Transfer,2024-12-31,2024-12-31,2025-01-29,2025-08-27,Lease agreement for House in CA for 7 months. Condition: Fair.,7
17,561,416,244,233,4370.0,0.1,11799.0,Credit Card,2024-12-31,2024-12-31,2025-01-27,2027-04-17,Lease agreement for House in CA for 27 months. Condition: Fair.,27
18,2050,999,217,250,4680.0,0.1,3744.0,Bank Transfer,2024-08-22,2023-12-22,2024-01-07,2024-09-03,Lease agreement for House in TX for 8 months. Condition: Good.,8
19,2050,754,248,250,5120.0,0.05,6144.0,Bank Transfer,2024-12-20,2024-11-20,2024-12-12,2026-12-02,Lease agreement for House in TX for 24 months. Condition: Good.,24
20,1469,1960,181,1684,1680.0,0.1,5712.0,Credit Card,2024-10-06,2024-09-29,2024-10-03,2027-07-20,Lease agreement for Office in FL for 34 months. Condition: Fair.,33
21,1469,885,78,1684,1890.0,0.05,3118.5,Credit Card,2024-12-31,2024-12-31,2025-01-13,2027-09-30,Lease agreement for Office in FL for 33 months. Condition: Fair.,32
22,1469,935,159,1684,1990.0,0.1,1393.0,Bank Transfer,2024-12-31,2024-12-31,2025-01-04,2025-08-02,Lease agreement for Office in FL for 7 months. Condition: Fair.,7
23,1383,821,203,528,6270.0,0.1,21945.0,Cash,2024-07-16,2024-05-21,2024-06-03,2027-04-19,Lease agreement for Villa in TX for 35 months. Condition: Good.,34
24,688,1392,128,81,1920.0,0.05,2592.0,Credit Card,2024-12-21,2024-11-11,2024-11-15,2027-02-03,Lease agreement for Apartment in FL for 27 months. Condition: Good.,27
25,920,959,71,211,21740.0,0.05,28262.0,Bank Transfer,2024-12-22,2024-10-29,2024-11-08,2026-12-28,Lease agreement for Villa in CA for 26 months. Condition: Good.,25
26,920,1061,123,211,21110.0,0.1,56997.0,Cash,2024-12-31,2024-12-31,2025-01-09,2027-03-30,Lease agreement for Villa in CA for 27 months. Condition: Good.,26
27,1192,2015,140,226,2600.0,0.1,8320.0,Credit Card,2024-10-11,2024-09-28,2024-10-08,2027-05-26,Lease agreement for Apartment in IL for 32 months. Condition: Good.,31
28,1192,942,30,226,2430.0,0.1,2187.0,Credit Card,2024-12-31,2024-12-31,2025-01-28,2025-10-25,Lease agreement for Apartment in IL for 9 months. Condition: Good.,9
29,1192,1988,168,226,2440.0,0.1,5124.0,Cash,2024-12-31,2024-12-31,2025-01-15,2026-10-07,Lease agreement for Apartment in IL for 21 months. Condition: Good.,21
30,1298,1446,140,1365,8410.0,0.1,16820.0,Cash,2024-10-27,2024-08-31,2024-09-09,2026-05-02,Lease agreement for Villa in TX for 20 months. Condition: Good.,20
31,1298,596,124,1365,6460.0,0.1,20026.0,Bank Transfer,2024-12-31,2024-12-31,2025-01-19,2027-08-07,Lease agreement for Villa in TX for 31 months. Condition: Good.,31
32,1298,1012,108,1365,8930.0,0.1,13395.0,Cash,2024-12-31,2024-12-31,2025-01-23,2026-04-18,Lease agreement for Villa in TX for 15 months. Condition: Good.,15
33,952,1016,197,147,3160.0,0.05,5056.0,Credit Card,2024-12-29,2024-12-23,2025-01-12,2027-08-30,Lease agreement for Office in IL for 32 months. Condition: Poor.,31
34,952,1125,159,147,2130.0,0.05,2875.5,Cash,2024-12-31,2024-12-31,2025-01-15,2027-04-05,Lease agreement for Office in IL for 27 months. Condition: Poor.,27
35,2059,1140,205,619,2520.0,0.1,7308.0,Cash,2023-04-30,2022-08-25,2022-09-02,2025-01-19,Lease agreement for Office in CA for 29 months. Condition: Good.,28
36,2059,1306,208,619,2823.333333333333,0.1,1694.0,Bank Transfer,2024-12-31,2024-12-31,2025-01-01,2025-07-30,Lease agreement for Office in CA for 7 months. Condition: Good.,6
37,1271,1058,194,471,12470.0,0.1,34916.0,Credit Card,2024-08-04,2024-01-20,2024-02-17,2026-06-06,Lease agreement for Villa in NY for 28 months. Condition: Good.,28
38,1326,1042,97,1621,3560.0,0.05,3916.0,Credit Card,2024-05-06,2024-04-22,2024-04-23,2026-02-12,Lease agreement for Apartment in FL for 22 months. Condition: Good.,22
39,1326,1174,233,1621,3280.0,0.1,5248.0,Credit Card,2024-12-31,2024-12-31,2025-01-14,2026-05-09,Lease agreement for Apartment in FL for 16 months. Condition: Good.,16
40,1861,1345,194,481,10260.0,0.05,4617.0,Cash,2024-07-19,2024-06-11,2024-06-23,2025-03-20,Lease agreement for Villa in CA for 9 months. Condition: Good.,9
41,94,1424,26,1609,2300.0,0.1,7360.0,Bank Transfer,2024-09-21,2024-04-04,2024-04-05,2026-11-21,Lease agreement for Office in NY for 32 months. Condition: Fair.,31
42,94,1997,95,1609,2250.0,0.05,1800.0,Bank Transfer,2024-12-31,2024-12-31,2025-01-22,2026-05-17,Lease agreement for Office in NY for 16 months. Condition: Fair.,16
43,1218,966,197,1572,1400.0,0.05,1960.0,Bank Transfer,2024-03-17,2023-08-09,2023-08-12,2025-11-29,Lease agreement for Studio in FL for 28 months. Condition: Fair.,27
44,1596,1812,52,1631,5010.0,0.1,3507.0,Credit Card,2023-10-11,2023-08-20,2023-09-04,2024-04-01,Lease agreement for Office in IL for 7 months. Condition: Good.,7
45,1596,355,104,1631,3370.0,0.05,3538.5,Bank Transfer,2024-11-28,2024-11-27,2024-12-26,2026-09-17,Lease agreement for Office in IL for 21 months. Condition: Good.,21
46,2655,2040,101,1712,3180.0,0.1,8268.0,Bank Transfer,2024-12-13,2023-02-09,2023-03-05,2025-04-23,Lease agreement for Office in NY for 26 months. Condition: Fair.,25
47,2655,1035,205,1712,2820.0,0.1,5922.0,Credit Card,2024-12-31,2024-12-31,2025-01-29,2026-10-21,Lease agreement for Office in NY for 21 months. Condition: Fair.,21
48,2655,1920,93,1712,2300.0,0.05,1725.0,Bank Transfer,2024-12-31,2024-12-31,2025-01-30,2026-04-25,Lease agreement for Office in NY for 15 months. Condition: Fair.,15
49,2070,1373,157,150,1320.0,0.1,3036.0,Cash,2024-12-01,2024-08-24,2024-08-27,2026-07-18,Lease agreement for Studio in IL for 23 months. Condition: Good.,23
50,2070,1472,194,150,1490.0,0.1,2980.0,Credit Card,2024-12-31,2024-12-31,2025-01-18,2026-09-10,Lease agreement for Studio in IL for 20 months. Condition: Good.,20
51,2070,1647,35,150,1300.0,0.05,715.0,Cash,2024-12-31,2024-12-31,2025-01-02,2025-11-28,Lease agreement for Studio in IL for 11 months. Condition: Good.,10
52,546,198,102,1525,3920.0,0.1,12544.0,Bank Transfer,2024-10-20,2024-10-20,2024-11-16,2027-07-04,Lease agreement for Apartment in FL for 32 months. Condition: Good.,32
53,546,224,96,1525,4530.0,0.1,16308.0,Cash,2024-12-31,2024-12-31,2025-01-22,2028-01-07,Lease agreement for Apartment in FL for 36 months. Condition: Good.,36
54,1199,751,97,925,6516.0,0.1,3258.0,Bank Transfer,2023-03-04,2022-06-14,2022-07-03,2022-12-30,Lease agreement for House in CA for 6 months. Condition: Fair.,5
55,1082,428,63,450,2170.0,0.05,651.0,Cash,2024-05-02,2024-02-25,2024-03-08,2024-09-04,Lease agreement for Office in TX for 6 months. Condition: Good.,6
56,1082,1221,203,450,2860.0,0.05,1859.0,Cash,2024-12-07,2024-09-21,2024-10-04,2025-10-29,Lease agreement for Office in TX for 13 months. Condition: Good.,12
57,1082,496,157,450,2880.0,0.1,6912.0,Cash,2024-12-31,2024-12-31,2025-01-23,2027-01-13,Lease agreement for Office in TX for 24 months. Condition: Good.,24
58,2000,1368,14,60,12820.0,0.1,8974.0,Cash,2023-09-25,2022-11-19,2022-12-07,2023-07-05,Lease agreement for Villa in CA for 7 months. Condition: Good.,7
59,165,614,179,30,1530.0,0.1,1377.0,Cash,2022-10-19,2022-07-25,2022-08-16,2023-05-13,Lease agreement for Studio in TX for 9 months. Condition: Good.,9
60,2215,613,194,1740,2240.0,0.05,1792.0,Bank Transfer,2024-05-06,2023-09-03,2023-10-01,2025-01-23,Lease agreement for Apartment in FL for 16 months. Condition: Good.,15
61,2215,984,197,1740,2500.0,0.05,4125.0,Cash,2024-12-31,2024-12-31,2025-01-11,2027-09-28,Lease agreement for Apartment in FL for 33 months. Condition: Good.,32
62,534,1749,208,1334,3760.0,0.1,9776.0,Bank Transfer,2022-11-06,2022-08-24,2022-08-29,2024-10-17,Lease agreement for Office in IL for 26 months. Condition: Good.,26
63,534,1927,171,1334,3550.0,0.05,4792.5,Cash,2024-12-22,2024-12-17,2025-01-05,2027-03-26,Lease agreement for Office in IL for 27 months. Condition: Good.,26
64,534,301,85,1334,4780.0,0.1,13384.0,Credit Card,2024-12-31,2024-12-31,2025-01-26,2027-05-16,Lease agreement for Office in IL for 28 months. Condition: Good.,28
65,672,2004,45,1011,3190.0,0.05,957.0,Credit Card,2023-12-22,2023-02-26,2023-03-16,2023-09-12,Lease agreement for Office in CA for 6 months. Condition: Poor.,6
66,672,852,123,1011,3840.0,0.05,6144.0,Credit Card,2024-12-25,2024-12-20,2025-01-19,2027-09-06,Lease agreement for Office in CA for 32 months. Condition: Poor.,32
67,2567,432,101,92,2400.0,0.05,1560.0,Credit Card,2023-11-16,2023-09-24,2023-09-29,2024-10-23,Lease agreement for Apartment in FL for 13 months. Condition: Good.,13
68,2567,1392,159,92,2210.0,0.1,4641.0,Credit Card,2024-11-27,2024-11-11,2024-11-15,2026-08-07,Lease agreement for Apartment in FL for 21 months. Condition: Good.,21
69,2567,1744,108,92,2910.0,0.1,4074.0,Credit Card,2024-12-31,2024-12-31,2025-01-10,2026-03-06,Lease agreement for Apartment in FL for 14 months. Condition: Good.,14
70,2775,1205,28,1436,2140.0,0.05,1498.0,Cash,2024-04-19,2023-03-08,2023-04-01,2024-05-25,Lease agreement for Apartment in IL for 14 months. Condition: Poor.,13
71,2775,689,197,1436,1750.0,0.05,2187.5,Cash,2024-10-11,2024-09-19,2024-10-11,2026-10-31,Lease agreement for Apartment in IL for 25 months. Condition: Poor.,24
72,2775,1706,97,1436,1630.0,0.1,1467.0,Credit Card,2024-12-31,2024-12-31,2025-01-17,2025-10-14,Lease agreement for Apartment in IL for 9 months. Condition: Poor.,9
73,1848,401,17,1086,2130.0,0.1,6177.0,Cash,2024-09-16,2024-06-26,2024-06-30,2026-11-17,Lease agreement for Studio in CA for 29 months. Condition: Fair.,29
74,1666,1489,113,1468,2100.0,0.1,1890.0,Credit Card,2023-11-12,2023-09-17,2023-10-05,2024-07-01,Lease agreement for Apartment in IL for 9 months. Condition: Fair.,9
75,1666,1963,60,1468,1590.0,0.05,2385.0,Bank Transfer,2024-12-21,2024-11-17,2024-12-04,2027-05-23,Lease agreement for Apartment in IL for 30 months. Condition: Fair.,29
76,1666,801,12,1468,1720.0,0.05,774.0,Cash,2024-12-31,2024-12-31,2025-01-27,2025-10-24,Lease agreement for Apartment in IL for 9 months. Condition: Fair.,9
77,2246,27,93,1251,1060.0,0.1,636.0,Credit Card,2024-08-24,2024-05-20,2024-06-03,2024-11-30,Lease agreement for Studio in IL for 6 months. Condition: Good.,5
78,1998,453,19,798,4050.0,0.1,8100.0,Bank Transfer,2024-12-23,2024-12-07,2024-12-28,2026-08-20,Lease agreement for House in NY for 20 months. Condition: Fair.,20
79,1998,1212,46,798,4010.0,0.05,1804.5,Credit Card,2024-12-31,2024-12-31,2025-01-14,2025-10-11,Lease agreement for House in NY for 9 months. Condition: Fair.,9
80,2767,1456,19,1543,5360.0,0.05,9112.0,Bank Transfer,2024-11-21,2024-08-25,2024-09-19,2027-07-06,Lease agreement for Apartment in CA for 34 months. Condition: Good.,34
81,237,346,26,1083,1540.0,0.05,1078.0,Cash,2022-07-22,2020-06-30,2020-07-18,2021-09-11,Lease agreement for Studio in FL for 14 months. Condition: Good.,14
82,237,841,81,1083,1780.0,0.05,712.0,Credit Card,2024-07-26,2024-04-10,2024-05-03,2024-12-29,Lease agreement for Studio in FL for 8 months. Condition: Good.,7
