sale_id,property_id,client_id,agent_id,owner_id,sale_date,sale_amount,commission_rate,commission_amount,commission_payment_method,commission_payment_date
1,662,679,107,1745,2023-05-16,886392.38,0.05,44319.62,Cash,2023-09-05
2,1422,2057,207,548,2022-04-07,237485.78,0.02,4749.72,Bank Transfer,2024-04-25
3,873,201,86,515,2023-04-19,235812.08,0.05,11790.6,Cash,2024-07-04
4,552,573,51,373,2024-10-02,266874.04,0.03,8006.22,Cash,2024-10-30
5,2020,1062,91,929,2023-11-18,156286.92,0.02,3125.74,Bank Transfer,2024-02-24
6,1735,1000,192,994,2023-10-23,740509.63,0.03,22215.2889,Check,2024-07-22
7,97,594,15,774,2023-10-26,262450.8,0.02,5249.02,Bank Transfer,2024-09-12
8,2657,701,173,1414,2023-11-11,1544328.76,0.05,77216.44,Check,2023-12-15
9,216,362,153,1280,2024-08-17,246166.19,0.02,4923.32,Check,2024-09-02
10,832,163,27,1229,2021-11-14,2186056.02,0.02,43721.12,Cash,2024-06-25
11,992,493,117,210,2023-03-17,805886.06,0.05,40294.3,Bank Transfer,2024-01-14
12,1590,1852,1,1365,2024-03-15,937881.08,0.05,46894.05,Bank Transfer,2024-07-05
13,2932,1021,249,1146,2024-07-20,345841.95,0.05,17292.1,Check,2024-12-01
14,448,501,29,647,2021-04-13,439975.95,0.02,8799.52,Cash,2022-12-03
15,2820,486,225,1165,2024-07-24,173952.78,0.03,5218.58,Check,2024-09-06
16,430,423,139,289,2023-04-06,232422.01,0.03,6972.66,Bank Transfer,2024-11-03
17,896,1149,198,1037,2024-06-05,829726.02,0.05,41486.3,Cash,2024-09-13
18,2240,1484,154,1717,2022-01-02,272036.23,0.05,13601.8115,Check,2024-02-23
19,2948,257,15,57,2024-07-06,284281.29,0.05,14214.06,Check,2024-08-20
20,2394,1074,111,1704,2023-11-30,115021.59,0.03,3450.65,Bank Transfer,2024-04-16
21,2326,1843,11,649,2024-07-27,962769.88,0.02,19255.4,Check,2024-12-29
22,1409,1524,136,976,2024-03-27,167185.71,0.03,5015.57,Check,2024-04-26
23,1719,1615,138,734,2023-10-08,185052.35,0.03,5551.57,Cash,2024-08-09
24,2067,342,177,214,2024-06-18,1148095.39,0.02,22961.91,Check,2024-12-28
25,2507,158,138,25,2022-10-30,651305.03,0.05,32565.25,Check,2024-12-04
26,1734,1920,221,863,2021-06-24,615357.35,0.02,12307.15,Check,2023-07-16
27,1322,861,43,477,2021-09-05,237038.82,0.02,4740.78,Bank Transfer,2022-11-26
28,1051,1177,161,615,2024-06-04,223747.04,0.03,6712.41,Check,2024-11-28
29,372,1951,196,1752,2024-07-19,105931.67,0.03,3177.95,Bank Transfer,2024-09-11
30,1989,644,75,355,2024-12-09,1615508.31,0.03,48465.25,Cash,2024-12-16
31,2545,1207,66,646,2023-10-21,119238.43,0.05,5961.92,Cash,2024-07-30
32,782,640,118,1305,2024-05-20,1624612.69,0.03,48738.38,Bank Transfer,2024-07-28
33,2462,801,129,157,2022-09-01,230269.18,0.02,4605.38,Bank Transfer,2023-12-10
34,1306,1585,116,1000,2023-07-10,1789287.29,0.02,35785.75,Check,2024-07-27
35,2927,90,237,1549,2023-08-11,751969.13,0.02,15039.38,Bank Transfer,2024-11-28
36,459,264,131,1747,2023-10-28,564989.03,0.05,28249.45,Cash,2024-08-08
37,1411,1242,66,1224,2022-05-27,232019.71,0.05,11600.99,Bank Transfer,2024-04-23
38,2134,1657,216,481,2023-07-17,731200.75,0.03,21936.02,Cash,2023-08-15
39,363,914,221,104,2024-01-18,135279.49,0.02,2705.59,Check,2024-04-25
40,2327,1120,161,718,2024-10-19,256240.13,0.02,5124.8,Cash,2024-11-17
41,2611,904,153,1482,2024-04-19,270012.23,0.03,8100.37,Cash,2024-10-03
42,1448,1986,211,258,2024-12-25,1022648.9,0.05,51132.45,Cash,2024-12-29
43,2626,648,186,1671,2024-03-06,570293.31,0.02,11405.87,Bank Transfer,2024-11-07
44,648,490,228,1743,2024-03-14,153597.17,0.03,4607.92,Check,2024-04-09
45,2451,351,27,417,2023-05-03,1220389.59,0.05,61019.48,Cash,2024-10-03
46,2658,621,138,1292,2020-02-02,426680.18,0.02,8533.6,Bank Transfer,2021-08-27
47,2066,21,116,476,2024-12-03,308024.71,0.03,9240.74,Bank Transfer,2024-12-12
48,1038,874,195,1052,2024-05-01,227696.52,0.05,11384.83,Cash,2024-05-10
49,440,1937,172,807,2024-05-25,240694.43,0.05,12034.72,Bank Transfer,2024-10-25
50,783,1149,125,487,2023-11-17,238243.91,0.05,11912.2,Check,2024-05-03
51,409,1158,7,629,2024-04-11,593250.2,0.02,11865.003999999999,Cash,2024-09-26
52,1420,1410,126,80,2024-12-27,210821.37,0.02,4216.43,Check,2024-12-27
53,2378,1350,141,740,2024-02-25,538466.97,0.02,10769.34,Cash,2024-08-27
54,2363,1907,249,1666,2024-09-24,837189.37,0.02,16743.79,Bank Transfer,2024-09-25
55,797,292,249,1106,2024-05-23,866922.19,0.03,26007.67,Cash,2024-05-30
56,1839,1712,136,1353,2022-10-07,825071.05,0.05,41253.55,Bank Transfer,2022-12-03
57,918,1587,138,989,2024-12-30,869191.2,0.02,17383.82,Check,2024-12-30
58,28,834,42,745,2022-10-28,1161415.24,0.02,23228.3,Cash,2024-10-30
59,537,250,125,247,2024-03-14,151834.24,0.02,3036.68,Check,2024-11-10
60,2754,658,131,215,2024-09-04,1143835.17,0.03,34315.06,Cash,2024-09-30
61,2765,281,29,1466,2022-06-24,270212.62,0.05,13510.63,Bank Transfer,2024-07-16
62,724,1319,23,138,2024-01-31,1083129.29,0.03,32493.88,Cash,2024-11-23
63,900,1631,70,667,2023-11-29,227045.75,0.02,4540.92,Cash,2024-11-25
64,2826,1002,1,659,2021-11-21,223040.88,0.03,6691.23,Check,2023-04-14
65,971,1454,225,1068,2024-12-02,267007.27,0.05,13350.36,Check,2024-12-29
66,1534,1546,242,173,2023-10-10,548816.36,0.05,27440.82,Check,2024-02-01
67,2498,60,109,1509,2024-08-08,440894.02,0.03,13226.82,Check,2024-09-24
68,2263,928,107,568,2024-07-06,257171.51,0.02,5143.43,Bank Transfer,2024-07-08
69,2214,205,43,768,2024-08-14,1835815.29,0.05,91790.76,Bank Transfer,2024-12-28
70,2684,1171,222,138,2023-11-07,273750.56,0.03,8212.52,Bank Transfer,2024-02-17
71,639,1202,228,16,2020-10-29,499271.75,0.03,14978.15,Cash,2023-08-26
72,573,1067,61,855,2024-12-30,510224.22,0.03,15306.73,Check,2024-12-30
73,2217,1737,134,950,2024-02-05,1106718.47,0.05,55335.923500000004,Bank Transfer,2024-10-25
74,1537,1953,37,274,2023-01-26,443817.02,0.02,8876.34,Check,2023-03-18
75,2174,1620,192,1396,2024-06-20,130334.65,0.03,3910.04,Bank Transfer,2024-09-11
76,2607,208,242,511,2022-07-09,190865.17,0.03,5725.96,Check,2024-11-21
77,1748,1087,70,1021,2023-09-30,889989.19,0.05,44499.46,Bank Transfer,2023-10-17
78,1115,1208,107,1440,2022-08-25,181692.01,0.02,3633.84,Check,2023-03-16
79,2591,639,193,309,2024-06-04,429888.31,0.03,12896.65,Bank Transfer,2024-11-14
80,2431,593,66,509,2023-05-24,608536.81,0.02,12170.74,Check,2024-12-05
81,262,2051,139,958,2022-04-14,958204.81,0.05,47910.24,Cash,2024-07-25
82,2524,952,65,348,2023-02-24,106310.46,0.03,3189.31,Check,2024-05-31
