client_id,R_Score,F_Score,M_Score,Segment
1,3,1,1,Mid-Tier
2,2,1,2,Mid-Tier
3,3,1,1,Mid-Tier
4,1,1,3,Big Spender
5,1,1,1,Mid-Tier
6,2,2,1,Mid-Tier
7,3,4,4,VIP Clients
8,3,2,1,Mid-Tier
10,2,2,4,Potential Loyalist
11,3,1,1,Mid-Tier
12,3,1,1,Mid-Tier
13,3,3,4,VIP Clients
14,3,3,3,VIP Clients
15,1,3,1,Mid-Tier
16,1,1,2,Mid-Tier
17,1,1,1,Mid-Tier
19,1,1,2,Mid-Tier
20,2,1,3,Big Spender
21,3,3,3,VIP Clients
22,1,3,4,At Risk
23,3,2,3,Potential Loyalist
25,2,2,4,Potential Loyalist
26,3,3,2,Potential Loyalist
27,1,2,4,Big Spender
28,2,3,4,Regular High-Value
29,3,3,4,VIP Clients
30,1,1,1,Mid-Tier
31,3,4,4,VIP Clients
32,1,1,4,Big Spender
34,3,2,2,Potential Loyalist
35,3,2,2,Potential Loyalist
36,2,2,2,Potential Loyalist
37,2,4,4,Regular High-Value
38,1,1,1,Mid-Tier
39,3,1,1,Mid-Tier
41,3,1,2,Mid-Tier
42,3,4,3,VIP Clients
43,2,3,3,Regular High-Value
45,2,1,2,Mid-Tier
46,3,2,3,Potential Loyalist
47,2,2,1,Mid-Tier
48,3,4,4,VIP Clients
49,2,2,4,Potential Loyalist
50,3,1,1,Mid-Tier
51,3,4,3,VIP Clients
52,3,3,3,VIP Clients
53,3,3,4,VIP Clients
54,2,1,1,Mid-Tier
56,3,3,2,Potential Loyalist
58,1,2,2,At Risk
59,2,4,4,Regular High-Value
60,3,2,3,Potential Loyalist
61,2,3,3,Regular High-Value
62,2,4,3,Regular High-Value
63,2,1,3,Big Spender
64,2,2,1,Mid-Tier
65,2,1,1,Mid-Tier
66,3,2,1,Mid-Tier
67,3,1,1,Mid-Tier
70,1,1,3,Big Spender
71,3,2,2,Potential Loyalist
72,3,3,2,Potential Loyalist
73,3,2,2,Potential Loyalist
74,3,4,4,VIP Clients
76,3,2,1,Mid-Tier
77,1,4,3,At Risk
78,1,2,1,Mid-Tier
79,3,3,3,VIP Clients
80,3,1,1,Mid-Tier
81,3,2,1,Mid-Tier
83,3,4,4,VIP Clients
85,1,1,2,Mid-Tier
86,2,3,3,Regular High-Value
